order_id,customer_id,customer_city,restaurant_id,restaurant_city,cuisine,order_datetime,order_value,delivery_time_mins,rating,is_weekend
O223409,C101301,Hyderabad,R1101,Pune,South Indian,2025-01-01 13:24:00,324.69,33.3,4.2,False
O218209,C102023,Mumbai,R1099,Mumbai,Biryani,2025-01-01 14:03:00,435.56,42.8,4.0,False
O228038,C102364,Bengaluru,R1162,Pune,North Indian,2025-01-01 20:06:00,360.85,39.1,3.4,False
O209510,C100113,Pune,R1111,Mumbai,North Indian,2025-01-01 20:31:00,452.94,54.4,3.5,False
O220798,C101733,Bengaluru,R1121,Chennai,Fast Food,2025-01-02 00:00:00,251.03,35.4,4.8,False
O226834,C101566,Bengaluru,R1124,Bengaluru,Biryani,2025-01-02 00:00:00,497.77,21.8,4.0,False
O229269,C100989,Chennai,R1096,Delhi NCR,Biryani,2025-01-02 10:08:00,465.97,51.4,4.1,False
O203490,C100852,Mumbai,R1020,Delhi NCR,Fast Food,2025-01-02 12:41:00,246.48,43.8,4.8,False
O214189,C102023,Mumbai,R1059,Bengaluru,North Indian,2025-01-02 14:03:00,696.33,34.4,4.4,False
O214878,C100900,Hyderabad,R1013,Mumbai,Fast Food,2025-01-02 19:31:00,253.37,56.2,3.5,False
O203479,C101615,Delhi NCR,R1142,Delhi NCR,Fast Food,2025-01-02 20:55:00,290.92,38.5,3.9,False
O214473,C101868,Mumbai,R1092,Hyderabad,Desserts,2025-01-02 21:47:00,163.01,44.9,4.2,False
O216970,C102391,Hyderabad,R1111,Mumbai,North Indian,2025-01-03 00:00:00,455.52,51.4,4.2,False
O224996,C100123,Delhi NCR,R1055,Chennai,Biryani,2025-01-03 00:00:00,547.79,24.6,3.5,False
O207616,C101126,Delhi NCR,R1159,Pune,North Indian,2025-01-03 00:00:00,229.1,27.7,4.5,False
O220897,C101566,Bengaluru,R1057,Mumbai,North Indian,2025-01-03 09:50:00,337.09,34.3,3.8,False
O203547,C102494,Bengaluru,R1086,Pune,Fast Food,2025-01-03 11:35:00,147.67,19.6,4.7,False
O224439,C101814,Bengaluru,R1076,Hyderabad,Continental,2025-01-03 16:53:00,668.88,21.9,4.2,False
O228052,C102128,Chennai,R1052,Chennai,Fast Food,2025-01-03 19:16:00,208.77,40.1,4.3,False
O201312,C101307,Delhi NCR,R1009,Pune,South Indian,2025-01-03 20:07:00,248.61,32.4,4.0,False
O220680,C100802,Bengaluru,R1158,Bengaluru,Chinese,2025-01-03 20:24:00,320.92,38.8,4.0,False
O224247,C100290,Mumbai,R1055,Chennai,Biryani,2025-01-03 21:49:00,449.97,29.5,4.1,False
O213488,C102437,Bengaluru,R1049,Mumbai,Fast Food,2025-01-03 22:29:00,247.38,38.4,4.5,False
O226288,C100123,Delhi NCR,R1103,Delhi NCR,North Indian,2025-01-03 22:42:00,389.37,38.2,3.6,False
O208510,C101301,Hyderabad,R1107,Pune,Fast Food,2025-01-03 22:44:00,212.9,25.8,4.9,False
O213409,C102087,Bengaluru,R1097,Delhi NCR,Fast Food,2025-01-04 00:00:00,212.81,21.1,4.6,True
O206616,C101300,Bengaluru,R1156,Pune,Desserts,2025-01-04 08:09:00,163.97,12.0,4.3,True
O205207,C101126,Delhi NCR,R1129,Delhi NCR,South Indian,2025-01-04 11:37:00,257.78,31.7,5.0,True
O204311,C100945,Mumbai,R1073,Hyderabad,South Indian,2025-01-04 13:44:00,227.58,19.5,4.6,True
O223159,C100187,Delhi NCR,R1100,Mumbai,Desserts,2025-01-04 14:08:00,182.86,23.1,3.9,True
O201924,C101566,Bengaluru,R1076,Hyderabad,Continental,2025-01-04 14:10:00,696.25,37.3,4.4,True
O228467,C100802,Bengaluru,R1092,Hyderabad,Desserts,2025-01-04 14:43:00,174.56,35.3,3.0,True
O210862,C101637,Hyderabad,R1139,Chennai,South Indian,2025-01-04 15:28:00,338.48,29.0,4.4,True
O207767,C100047,Bengaluru,R1052,Chennai,Fast Food,2025-01-04 19:01:00,217.96,42.1,5.0,True
O213841,C102067,Mumbai,R1131,Bengaluru,North Indian,2025-01-04 19:53:00,480.8,49.8,3.9,True
O202345,C101041,Bengaluru,R1176,Pune,North Indian,2025-01-04 20:42:00,488.65,23.9,3.9,True
O228958,C100064,Bengaluru,R1028,Delhi NCR,North Indian,2025-01-04 21:24:00,403.69,55.0,4.0,True
O213572,C101566,Bengaluru,R1033,Chennai,South Indian,2025-01-04 22:14:00,212.35,42.5,4.4,True
O202165,C101126,Delhi NCR,R1050,Chennai,Biryani,2025-01-04 22:27:00,484.83,29.2,4.6,True
O209729,C101728,Mumbai,R1152,Mumbai,North Indian,2025-01-04 22:35:00,572.43,57.0,4.1,True
O200702,C102023,Mumbai,R1151,Bengaluru,Biryani,2025-01-04 22:36:00,370.94,27.5,4.4,True
O229156,C101566,Bengaluru,R1159,Pune,North Indian,2025-01-04 22:45:00,363.13,26.3,4.6,True
O203711,C101563,Hyderabad,R1069,Chennai,Desserts,2025-01-05 00:00:00,301.32,36.1,4.6,True
O223076,C101995,Delhi NCR,R1003,Delhi NCR,Desserts,2025-01-05 00:00:00,205.1,30.7,3.8,True
O210434,C100745,Hyderabad,R1062,Hyderabad,Desserts,2025-01-05 00:00:00,177.04,22.6,4.7,True
O210490,C100745,Hyderabad,R1077,Mumbai,Fast Food,2025-01-05 08:02:00,212.46,32.6,4.8,True
O216590,C101895,Mumbai,R1011,Chennai,Desserts,2025-01-05 12:22:00,111.54,44.1,3.9,True
O215755,C100634,Hyderabad,R1119,Delhi NCR,North Indian,2025-01-05 12:39:00,529.89,40.5,4.2,True
O208159,C100754,Pune,R1178,Chennai,Continental,2025-01-05 13:10:00,374.05,32.5,5.0,True
O204544,C100617,Bengaluru,R1068,Mumbai,Continental,2025-01-05 13:33:00,607.37,42.8,4.4,True
O225923,C100047,Bengaluru,R1165,Hyderabad,Fast Food,2025-01-05 13:34:00,259.33,43.6,3.8,True
O225370,C101566,Bengaluru,R1103,Delhi NCR,North Indian,2025-01-05 13:41:00,430.25,53.8,4.0,True
O206909,C101646,Delhi NCR,R1095,Delhi NCR,Chinese,2025-01-05 13:43:00,218.98,41.8,4.7,True
O200960,C102125,Hyderabad,R1177,Bengaluru,Fast Food,2025-01-05 14:00:00,269.79,30.1,4.5,True
O207325,C100175,Chennai,R1024,Delhi NCR,Fast Food,2025-01-05 14:12:00,277.4,37.1,4.2,True
O208386,C100759,Bengaluru,R1096,Delhi NCR,Biryani,2025-01-05 14:14:00,292.17,26.5,4.2,True
O207480,C101563,Hyderabad,R1132,Mumbai,North Indian,2025-01-05 14:25:00,292.03,38.3,4.2,True
O217823,C101393,Bengaluru,R1139,Chennai,South Indian,2025-01-05 14:28:00,271.21,39.6,4.5,True
O206951,C100302,Pune,R1114,Pune,North Indian,2025-01-05 15:35:00,244.43,28.4,4.5,True
O213784,C101566,Bengaluru,R1158,Bengaluru,Chinese,2025-01-05 19:57:00,270.72,38.6,4.4,True
O225354,C101207,Hyderabad,R1029,Mumbai,North Indian,2025-01-05 20:03:00,329.47,50.2,4.4,True
O213103,C101955,Bengaluru,R1007,Hyderabad,Fast Food,2025-01-05 21:02:00,182.48,40.4,4.7,True
O215305,C101696,Mumbai,R1012,Hyderabad,Desserts,2025-01-05 21:20:00,290.72,20.2,4.1,True
O212370,C102023,Mumbai,R1161,Pune,Chinese,2025-01-05 21:49:00,469.47,36.6,4.9,True
O217402,C101393,Bengaluru,R1057,Mumbai,North Indian,2025-01-05 22:20:00,332.06,47.1,4.6,True
O223043,C100552,Bengaluru,R1074,Pune,North Indian,2025-01-05 22:50:00,350.88,39.1,4.5,True
O201983,C102023,Mumbai,R1174,Pune,North Indian,2025-01-05 22:56:00,667.13,33.7,4.1,True
O221787,C100578,Bengaluru,R1148,Mumbai,Chinese,2025-01-06 00:00:00,310.73,37.0,4.7,False
O204132,C102067,Mumbai,R1026,Mumbai,North Indian,2025-01-06 00:00:00,396.64,31.4,4.5,False
O224878,C100377,Delhi NCR,R1142,Delhi NCR,Fast Food,2025-01-06 08:23:00,231.81,15.5,5.0,False
O210448,C101625,Delhi NCR,R1035,Hyderabad,South Indian,2025-01-06 08:40:00,382.19,32.0,3.6,False
O212999,C101168,Bengaluru,R1040,Mumbai,Fast Food,2025-01-06 12:02:00,170.82,42.2,4.5,False
O202353,C102216,Pune,R1109,Mumbai,Fast Food,2025-01-06 13:00:00,288.05,37.2,3.9,False
O211185,C100301,Bengaluru,R1077,Mumbai,Fast Food,2025-01-06 13:14:00,235.92,34.6,4.0,False
O228376,C101453,Delhi NCR,R1017,Delhi NCR,Desserts,2025-01-06 13:26:00,155.29,47.4,4.3,False
O200043,C102332,Bengaluru,R1150,Chennai,South Indian,2025-01-06 13:29:00,270.71,29.7,4.2,False
